step,train_loss,val_loss,learning_rate,temperature,grad_norm,step_time_sec
160,4.8475,,1.600000e-04,0.0704,0.3873,1.5675
118,4.8565,,1.180000e-04,0.0703,0.3276,1.5375
161,4.8477,,1.610000e-04,0.0704,0.3713,1.6295
119,4.8476,,1.190000e-04,0.0703,0.2805,1.2194
162,4.8351,,1.620000e-04,0.0704,0.4268,1.3587
120,4.8440,,1.200000e-04,0.0703,0.2604,1.9861
163,4.8444,,1.630000e-04,0.0704,0.4392,1.9238
121,4.8518,,1.210000e-04,0.0703,0.2912,1.3129
164,4.8521,,1.640000e-04,0.0704,0.4477,1.2360
122,4.8552,,1.220000e-04,0.0703,0.2616,1.5778
165,4.8454,,1.650000e-04,0.0705,0.4868,2.0830
123,4.8531,,1.230000e-04,0.0703,0.3018,1.5438
166,4.8346,,1.660000e-04,0.0705,0.4656,1.2493
124,4.8518,,1.240000e-04,0.0703,0.2659,1.1551
167,4.8462,,1.670000e-04,0.0705,0.5156,1.2768
125,4.8509,,1.250000e-04,0.0703,0.2609,1.3516
168,4.8527,,1.680000e-04,0.0705,0.5176,1.3980
126,4.8494,,1.260000e-04,0.0703,0.2705,1.1870
169,4.8359,,1.690000e-04,0.0705,0.5116,1.1735
127,4.8507,,1.270000e-04,0.0703,0.2681,1.2031
170,4.8287,,1.700000e-04,0.0705,0.5832,1.8445
128,4.8542,,1.280000e-04,0.0704,0.2596,2.1614
171,4.8399,,1.710000e-04,0.0705,0.6167,2.0637
129,4.8527,,1.290000e-04,0.0704,0.2940,1.6705
172,4.8282,,1.720000e-04,0.0705,0.7376,1.1602
130,4.8558,,1.300000e-04,0.0704,0.2955,1.3668
173,4.8569,,1.730000e-04,0.0705,0.8355,1.5860
131,4.8525,,1.310000e-04,0.0704,0.2716,1.4759
174,4.8582,,1.740000e-04,0.0705,0.7792,1.5795
132,4.8504,,1.320000e-04,0.0704,0.2918,1.3325
175,4.8557,,1.750000e-04,0.0705,0.8690,1.1176
133,4.8506,,1.330000e-04,0.0704,0.3020,1.1683
176,4.8651,,1.760000e-04,0.0705,0.8720,1.2365
134,4.8521,,1.340000e-04,0.0704,0.2964,1.3916
177,4.8699,,1.770000e-04,0.0705,0.8187,1.4110
135,4.8467,,1.350000e-04,0.0704,0.3094,1.5392
178,4.8476,,1.780000e-04,0.0705,0.6670,1.6038
136,4.8551,,1.360000e-04,0.0704,0.2923,1.2849
179,4.8474,,1.790000e-04,0.0705,0.5337,1.3021
137,4.8501,,1.370000e-04,0.0704,0.2695,1.2425
180,4.8478,,1.800000e-04,0.0705,0.5232,1.4471
138,4.8548,,1.380000e-04,0.0704,0.2808,1.4785
181,4.8447,,1.810000e-04,0.0705,0.5590,1.4045
139,4.8479,,1.390000e-04,0.0704,0.2827,1.4479
182,4.8649,,1.820000e-04,0.0705,0.6478,1.3361
140,4.8442,,1.400000e-04,0.0704,0.2962,1.2539
183,4.8512,,1.830000e-04,0.0705,0.4493,1.3862
141,4.8592,,1.410000e-04,0.0704,0.3156,1.5176
184,4.8570,,1.840000e-04,0.0705,0.4613,1.5139
142,4.8515,,1.420000e-04,0.0704,0.3019,1.4329
185,4.8555,,1.850000e-04,0.0705,0.4431,1.2795
